Full sealed-sector lists (best variant = A and B, identical).
  (16,12) type=1 normal           Item= 115 addl=0 adjSwitchable
  (17,12) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18,12) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (20,12) type=1 normal           Item= 116 addl=0 adjSwitchable
  (23,12) type=1 normal           Item= 117 addl=0 adjSwitchable
  (27,12) type=1 normal           Item= 118 addl=0 adjSwitchable
  (30,12) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1,13) type=1 normal           Item= 119 addl=0 adjSwitchable
  ( 2,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 4,13) type=1 normal           Item= 120 addl=0 adjSwitchable
  ( 6,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8,13) type=1 normal           Item= 121 addl=0 adjSwitchable
  ( 9,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (10,13) type=1 normal           Item= 122 addl=0 adjSwitchable
  (11,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (15,13) type=1 normal           Item= 123 addl=0 adjSwitchable
  (20,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (21,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (22,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (23,13) type=1 normal           Item= 124 addl=0 adjSwitchable
  (24,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (25,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (26,13) type=1 normal           Item= 125 addl=0 adjSwitchable
  (27,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (29,13) type=1 normal           Item= 126 addl=0 adjSwitchable
  (30,13) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1,14) type=1 normal           Item= 127 addl=0 adjSwitchable
  ( 6,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (11,14) type=1 normal           Item= 128 addl=0 adjSwitchable
  (12,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (13,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (14,14) type=1 normal           Item= 129 addl=0 adjSwitchable
  (15,14) type=1 normal           Item= 130 addl=0 adjSwitchable
  (16,14) type=1 normal           Item= 131 addl=0 adjSwitchable
  (17,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (20,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (21,14) type=1 normal           Item= 132 addl=0 adjSwitchable
  (23,14) type=1 normal           Item= 133 addl=0 adjSwitchable
  (24,14) type=1 normal           Item= 134 addl=0 adjSwitchable
  (26,14) type=1 normal           Item= 135 addl=0 adjSwitchable
  (27,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (28,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (29,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30,14) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1,15) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3,15) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 4,15) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 5,15) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 6,15) type=1 normal           Item= 136 addl=0 adjSwitchable
  ( 8,15) type=1 normal           Item= 137 addl=0 adjSwitchable
  (11,15) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18,15) type=1 normal           Item= 138 addl=0 adjSwitchable
  (21,15) type=1 normal           Item= 139 addl=0 adjSwitchable
  (23,15) type=1 normal           Item= 140 addl=0 adjSwitchable
  (26,15) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (27,15) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (29,15) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30,15) type=1 normal           Item= 141 addl=0 adjSwitchable
  ( 1,16) type=1 normal           Item= 142 addl=0 adjSwitchable
  ( 3,16) type=1 normal           Item= 143 addl=0 adjSwitchable
  ( 6,16) type=1 normal           Item= 144 addl=0 adjSwitchable
  ( 8,16) type=1 normal           Item= 145 addl=0 adjSwitchable
  ( 9,16) type=1 normal           Item= 146 addl=0 adjSwitchable
  (10,16) type=1 normal           Item= 147 addl=0 adjSwitchable
  (11,16) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (12,16) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (13,16) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (14,16) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (15,16) type=1 normal           Item= 148 addl=0 adjSwitchable
  (16,16) type=1 normal           Item=   4 addl=0 adjSwitchable
  (18,16) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (19,16) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (20,16) type=1 normal           Item= 149 addl=0 adjSwitchable
  (21,16) type=1 normal           Item= 150 addl=0 adjSwitchable
  (22,16) type=1 normal           Item= 151 addl=0 adjSwitchable
  (23,16) type=1 normal           Item= 152 addl=0 adjSwitchable
  (24,16) type=1 normal           Item= 153 addl=0 adjSwitchable
  (26,16) type=1 normal           Item= 154 addl=0 adjSwitchable
  (27,16) type=1 normal           Item= 155 addl=0 adjSwitchable
  (29,16) type=1 normal           Item= 156 addl=0 adjSwitchable
  (30,16) type=1 normal           Item= 157 addl=0 adjSwitchable
  ( 1,17) type=1 normal           Item= 158 addl=0 adjSwitchable
  ( 3,17) type=1 normal           Item= 159 addl=0 adjSwitchable
  ( 6,17) type=1 normal           Item= 160 addl=0 adjSwitchable
  (13,17) type=1 normal           Item= 161 addl=0 adjSwitchable
  (21,17) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (24,17) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (29,17) type=1 normal           Item= 162 addl=0 adjSwitchable
  (30,17) type=1 normal           Item= 163 addl=0 adjSwitchable
  ( 1,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 4,18) type=1 normal           Item= 164 addl=0 adjSwitchable
  ( 5,18) type=1 normal           Item= 165 addl=0 adjSwitchable
  ( 6,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 7,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 9,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (10,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (11,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (13,18) type=1 normal           Item= 166 addl=0 adjSwitchable
  (14,18) type=1 normal           Item= 167 addl=0 adjSwitchable
  (15,18) type=1 normal           Item= 168 addl=0 adjSwitchable
  (16,18) type=1 normal           Item= 169 addl=0 adjSwitchable
  (17,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18,18) type=1 normal           Item= 170 addl=0 adjSwitchable
  (19,18) type=1 normal           Item= 171 addl=0 adjSwitchable
  (20,18) type=1 normal           Item= 172 addl=0 adjSwitchable
  (21,18) type=1 normal           Item= 173 addl=0 adjSwitchable
  (22,18) type=1 normal           Item= 174 addl=0 adjSwitchable
  (23,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (24,18) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (25,18) type=1 normal           Item= 175 addl=0 adjSwitchable
  (26,18) type=1 normal           Item= 176 addl=0 adjSwitchable
  (27,18) type=1 normal           Item= 177 addl=0 adjSwitchable
  (29,18) type=1 normal           Item= 178 addl=0 adjSwitchable
  (30,18) type=1 normal           Item= 179 addl=0 adjSwitchable
  ( 1,19) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3,19) type=1 normal           Item= 180 addl=0 adjSwitchable
  ( 9,19) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (11,19) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (12,19) type=1 normal           Item= 181 addl=0 adjSwitchable
  (13,19) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (14,19) type=1 normal           Item= 182 addl=0 adjSwitchable
  (15,19) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (19,19) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (21,19) type=1 normal           Item= 183 addl=0 adjSwitchable
  (27,19) type=1 normal           Item= 184 addl=0 adjSwitchable
  (29,19) type=1 normal           Item= 185 addl=0 adjSwitchable
  (30,19) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1,20) type=1 normal           Item= 186 addl=0 adjSwitchable
  ( 3,20) type=1 normal           Item= 187 addl=0 adjSwitchable
  ( 4,20) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 5,20) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 6,20) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 7,20) type=1 normal           Item= 188 addl=0 adjSwitchable
  ( 8,20) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 9,20) type=1 normal           Item= 189 addl=0 adjSwitchable
  (15,20) type=1 normal           Item= 190 addl=0 adjSwitchable
  (17,20) type=1 normal           Item= 191 addl=0 adjSwitchable
  (18,20) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (19,20) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (21,20) type=1 normal           Item= 192 addl=0 adjSwitchable
  (22,20) type=1 normal           Item= 193 addl=0 adjSwitchable
  (23,20) type=1 normal           Item= 194 addl=0 adjSwitchable
  (24,20) type=1 normal           Item= 195 addl=0 adjSwitchable
  (25,20) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (26,20) type=1 normal           Item= 196 addl=0 adjSwitchable
  (27,20) type=1 normal           Item= 197 addl=0 adjSwitchable
  (29,20) type=1 normal           Item= 198 addl=0 adjSwitchable
  (30,20) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1,21) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 9,21) type=1 normal           Item= 199 addl=0 adjSwitchable
  (10,21) type=1 normal           Item= 200 addl=0 adjSwitchable
  (11,21) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (12,21) type=1 normal           Item= 201 addl=0 adjSwitchable
  (13,21) type=1 normal           Item= 202 addl=0 adjSwitchable
  (15,21) type=1 normal           Item= 203 addl=0 adjSwitchable
  (17,21) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (23,21) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30,21) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1,22) type=1 normal           Item= 204 addl=0 adjSwitchable
  ( 2,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 4,22) type=1 normal           Item= 205 addl=0 adjSwitchable
  ( 5,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 6,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 9,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (13,22) type=1 normal           Item= 206 addl=0 adjSwitchable
  (15,22) type=1 normal           Item= 207 addl=0 adjSwitchable
  (17,22) type=1 normal           Item= 208 addl=0 adjSwitchable
  (18,22) type=1 normal           Item= 209 addl=0 adjSwitchable
  (19,22) type=1 normal           Item= 210 addl=0 adjSwitchable
  (20,22) type=1 normal           Item= 211 addl=0 adjSwitchable
  (22,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (23,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (25,22) type=1 normal           Item= 212 addl=0 adjSwitchable
  (26,22) type=1 normal           Item= 213 addl=0 adjSwitchable
  (27,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (28,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30,22) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1,23) type=1 normal           Item= 214 addl=0 adjSwitchable
  ( 4,23) type=1 normal           Item= 215 addl=0 adjSwitchable
  ( 6,23) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8,23) type=1 normal           Item= 216 addl=0 adjSwitchable
  ( 9,23) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (10,23) type=1 normal           Item= 217 addl=0 adjSwitchable
  (11,23) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (13,23) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (15,23) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (20,23) type=1 normal           Item= 218 addl=0 adjSwitchable
  (22,23) type=1 normal           Item= 219 addl=0 adjSwitchable
  (23,23) type=1 normal           Item= 220 addl=0 adjSwitchable
  (24,23) type=1 normal           Item= 221 addl=0 adjSwitchable
  (25,23) type=1 normal           Item= 222 addl=0 adjSwitchable
  (26,23) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (28,23) type=1 normal           Item= 223 addl=0 adjSwitchable
  (30,23) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1,24) type=1 normal           Item= 224 addl=0 adjSwitchable
  ( 4,24) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 6,24) type=1 normal           Item= 225 addl=0 adjSwitchable
  (11,24) type=1 normal           Item= 226 addl=0 adjSwitchable
  (13,24) type=1 normal           Item= 227 addl=0 adjSwitchable
  (14,24) type=1 normal           Item= 228 addl=0 adjSwitchable
  (15,24) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (16,24) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (17,24) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18,24) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (20,24) type=1 normal           Item= 229 addl=0 adjSwitchable
  (22,24) type=1 normal           Item= 230 addl=0 adjSwitchable
  (23,24) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (24,24) type=1 normal           Item= 231 addl=0 adjSwitchable
  (26,24) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (28,24) type=1 normal           Item= 232 addl=0 adjSwitchable
  (29,24) type=1 normal           Item= 233 addl=0 adjSwitchable
  (30,24) type=1 normal           Item= 234 addl=0 adjSwitchable
  ( 1,25) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 2,25) type=1 normal           Item= 235 addl=0 adjSwitchable
  ( 3,25) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 4,25) type=1 normal           Item= 236 addl=0 adjSwitchable
  ( 6,25) type=1 normal           Item= 237 addl=0 adjSwitchable
  ( 8,25) type=1 normal           Item= 238 addl=0 adjSwitchable
  ( 9,25) type=1 normal           Item= 239 addl=0 adjSwitchable
  (10,25) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (11,25) type=1 normal           Item= 240 addl=0 adjSwitchable
  (13,25) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (14,25) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (15,25) type=1 normal           Item= 241 addl=0 adjSwitchable
  (16,25) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18,25) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (20,25) type=1 normal           Item= 242 addl=0 adjSwitchable
  (26,25) type=1 normal           Item= 243 addl=0 adjSwitchable
  (30,25) type=1 normal           Item= 244 addl=0 adjSwitchable
  ( 2,26) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 6,26) type=1 normal           Item= 245 addl=0 adjSwitchable
  ( 8,26) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18,26) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (20,26) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (22,26) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (23,26) type=1 normal           Item= 246 addl=0 adjSwitchable
  (24,26) type=1 normal           Item= 247 addl=0 adjSwitchable
  (25,26) type=1 normal           Item= 248 addl=0 adjSwitchable
  (26,26) type=1 normal           Item= 249 addl=0 adjSwitchable
  (28,26) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (30,26) type=1 normal           Item= 250 addl=0 adjSwitchable
  ( 1,27) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 2,27) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3,27) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 4,27) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 5,27) type=1 normal           Item= 251 addl=0 adjSwitchable
  ( 6,27) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8,27) type=1 normal           Item= 252 addl=0 adjSwitchable
  (10,27) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (11,27) type=1 normal           Item= 253 addl=0 adjSwitchable
  (13,27) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (14,27) type=1 normal           Item= 254 addl=0 adjSwitchable
  (15,27) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (16,27) type=1 normal           Item= 255 addl=0 adjSwitchable
  (18,27) type=1 normal           Item= 256 addl=0 adjSwitchable
  (20,27) type=1 normal           Item= 257 addl=0 adjSwitchable
  (22,27) type=1 normal           Item= 258 addl=0 adjSwitchable
  (23,27) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (28,27) type=1 normal           Item= 259 addl=0 adjSwitchable
  (29,27) type=1 normal           Item= 260 addl=0 adjSwitchable
  (30,27) type=1 normal           Item= 261 addl=0 adjSwitchable
  ( 1,28) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 2,28) type=1 normal           Item= 262 addl=0 adjSwitchable
  ( 6,28) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8,28) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 9,28) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (10,28) type=1 normal           Item= 263 addl=0 adjSwitchable
  (11,28) type=1 normal           Item= 264 addl=0 adjSwitchable
  (13,28) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (16,28) type=1 normal           Item= 265 addl=0 adjSwitchable
  (18,28) type=1 normal           Item= 266 addl=0 adjSwitchable
  (20,28) type=1 normal           Item= 267 addl=0 adjSwitchable
  (23,28) type=1 normal           Item= 268 addl=0 adjSwitchable
  (25,28) type=1 normal           Item= 269 addl=0 adjSwitchable
  (26,28) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (28,28) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 1,29) type=1 normal           Item= 270 addl=0 adjSwitchable
  ( 4,29) type=1 normal           Item= 271 addl=0 adjSwitchable
  ( 5,29) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 6,29) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (13,29) type=1 normal           Item= 272 addl=0 adjSwitchable
  (15,29) type=1 normal           Item= 273 addl=0 adjSwitchable
  (16,29) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (18,29) type=1 normal           Item= 274 addl=0 adjSwitchable
  (20,29) type=1 normal           Item= 275 addl=0 adjSwitchable
  (21,29) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (22,29) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (23,29) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (25,29) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (28,29) type=1 normal           Item= 276 addl=0 adjSwitchable
  (30,29) type=1 normal           Item= 277 addl=0 adjSwitchable
  ( 2,30) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 3,30) type=1 normal           Item= 278 addl=0 adjSwitchable
  ( 4,30) type=1 normal           Item= 279 addl=0 adjSwitchable
  ( 5,30) type=1 normal           Item= 280 addl=0 adjSwitchable
  ( 6,30) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 7,30) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 8,30) type=1 normal           Item=  -1 addl=0 adjSwitchable
  ( 9,30) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (10,30) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (11,30) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (12,30) type=1 normal           Item= 281 addl=0 adjSwitchable
  (13,30) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (15,30) type=1 normal           Item= 282 addl=0 adjSwitchable
  (16,30) type=1 normal           Item= 283 addl=0 adjSwitchable
  (17,30) type=1 normal           Item= 284 addl=0 adjSwitchable
  (18,30) type=1 normal           Item= 285 addl=0 adjSwitchable
  (20,30) type=1 normal           Item= 286 addl=0 adjSwitchable
  (21,30) type=1 normal           Item= 287 addl=0 adjSwitchable
  (22,30) type=1 normal           Item= 288 addl=0 adjSwitchable
  (23,30) type=1 normal           Item=  -1 addl=0 adjSwitchable
  (25,30) type=1 normal           Item= 289 addl=0 adjSwitchable
  (26,30) type=1 normal           Item= 290 addl=0 adjSwitchable
  (27,30) type=1 normal           Item= 291 addl=0 adjSwitchable
  (28,30) type=1 normal           Item= 292 addl=0 adjSwitchable
  (29,30) type=1 normal           Item= 293 addl=0 adjSwitchable

=== L14 Happy Happy, Carnage Carnage  sealed=239 ===
  ( 2, 1) type=1 normal           Item=  -1 addl=0
  ( 4, 1) type=1 normal           Item=  -1 addl=0
  ( 8, 1) type=1 normal           Item=  -1 addl=0
  (10, 1) type=1 normal           Item=  -1 addl=0
  (12, 1) type=1 normal           Item= 252 addl=0
  (13, 1) type=1 normal           Item=  -1 addl=0
  (14, 1) type=1 normal           Item=  -1 addl=0
  (15, 1) type=1 normal           Item= 251 addl=0
  (16, 1) type=6 corpse           Item= 274 addl=16
  (17, 1) type=1 normal           Item= 250 addl=0
  (18, 1) type=1 normal           Item=  21 addl=0
  (20, 1) type=1 normal           Item=  22 addl=0
  (22, 1) type=1 normal           Item=  24 addl=0
  (26, 1) type=1 normal           Item=  25 addl=0
  (28, 1) type=1 normal           Item=  -1 addl=0
  (30, 1) type=1 normal           Item= 262 addl=0
  (11, 2) type=2 door             Item=  -1 addl=2
  (12, 2) type=1 normal           Item=  33 addl=0
  (13, 2) type=1 normal           Item=  34 addl=0
  (14, 2) type=6 corpse           Item= 267 addl=15
  (15, 2) type=1 normal           Item= 253 addl=1
  (16, 2) type=1 normal           Item=  35 addl=0
  (17, 2) type=1 normal           Item= 254 addl=0
  (18, 2) type=1 normal           Item=  -1 addl=0
  (19, 2) type=2 door             Item=  -1 addl=3
  (30, 2) type=1 normal           Item= 336 addl=0
  ( 2, 3) type=1 normal           Item=  -1 addl=0
  ( 4, 3) type=1 normal           Item= 231 addl=0
  ( 8, 3) type=1 normal           Item= 230 addl=0
  (10, 3) type=1 normal           Item=  -1 addl=0
  (12, 3) type=6 corpse           Item= 279 addl=14
  (13, 3) type=1 normal           Item=  46 addl=0
  (14, 3) type=1 normal           Item=  -1 addl=0
  (15, 3) type=4 door_trigger     Item= 272 addl=12
  (16, 3) type=1 normal           Item=  -1 addl=0
  (17, 3) type=1 normal           Item=  47 addl=0
  (18, 3) type=6 corpse           Item= 261 addl=17
  (20, 3) type=1 normal           Item=  -1 addl=0
  (22, 3) type=1 normal           Item= 234 addl=0
  (26, 3) type=1 normal           Item=  -1 addl=0
  (28, 3) type=1 normal           Item= 236 addl=0
  (30, 3) type=1 normal           Item=  -1 addl=0
  ( 3, 4) type=1 normal           Item=  50 addl=0
  (13, 4) type=2 door             Item=  -1 addl=0
  (15, 4) type=2 door             Item=  -1 addl=1
  (17, 4) type=2 door             Item=  -1 addl=4
  (30, 4) type=1 normal           Item= 335 addl=0
  (12, 5) type=1 normal           Item=  69 addl=0
  (13, 5) type=1 normal           Item= 139 addl=0
  (14, 5) type=1 normal           Item=  -1 addl=0
  (15, 5) type=1 normal           Item= 163 addl=0
  (16, 5) type=1 normal           Item=  -1 addl=0
  (17, 5) type=1 normal           Item= 113 addl=0
  (18, 5) type=1 normal           Item=  76 addl=0
  (30, 5) type=1 normal           Item=  -1 addl=0
  (13, 6) type=1 normal           Item= 161 addl=0
  (14, 6) type=1 normal           Item= 221 addl=0
  (15, 6) type=1 normal           Item= 229 addl=0
  (16, 6) type=1 normal           Item= 212 addl=0
  (17, 6) type=1 normal           Item= 186 addl=0
  (30, 6) type=1 normal           Item= 334 addl=0
  ( 2, 7) type=1 normal           Item=  68 addl=0
  ( 4, 7) type=1 normal           Item=  -1 addl=0
  ( 8, 7) type=1 normal           Item=  -1 addl=0
  (10, 7) type=1 normal           Item=  71 addl=0
  (13, 7) type=1 normal           Item= 214 addl=0
  (14, 7) type=1 normal           Item=  73 addl=0
  (15, 7) type=1 normal           Item= 228 addl=0
  (16, 7) type=1 normal           Item= 222 addl=0
  (17, 7) type=1 normal           Item=  74 addl=0
  (20, 7) type=1 normal           Item=  75 addl=0
  (22, 7) type=1 normal           Item=  -1 addl=0
  (26, 7) type=1 normal           Item=  -1 addl=0
  (28, 7) type=1 normal           Item=  -1 addl=0
  (30, 7) type=1 normal           Item=  -1 addl=0
  (12, 8) type=1 normal           Item= 226 addl=0
  (13, 8) type=1 normal           Item= 218 addl=0
  (14, 8) type=1 normal           Item= 219 addl=0
  (15, 8) type=4 door_trigger     Item= 273 addl=13
  (16, 8) type=1 normal           Item= 220 addl=0
  (17, 8) type=1 normal           Item= 216 addl=0
  (18, 8) type=1 normal           Item= 225 addl=0
  (30, 8) type=1 normal           Item=  -1 addl=0
  ( 8, 9) type=1 normal           Item=  -1 addl=0
  (10, 9) type=1 normal           Item=  89 addl=0
  (20, 9) type=1 normal           Item=  -1 addl=0
  (22, 9) type=1 normal           Item= 235 addl=0
  (26, 9) type=1 normal           Item=  -1 addl=0
  (28, 9) type=1 normal           Item=  91 addl=0
  (30, 9) type=1 normal           Item= 333 addl=0
  ( 2,10) type=1 normal           Item= 233 addl=0
  ( 4,10) type=1 normal           Item= 232 addl=0
  (13,10) type=7 pillar           Item=   0 addl=0
  (14,10) type=7 pillar           Item=   1 addl=0
  (15,10) type=7 pillar           Item=   5 addl=0
  (16,10) type=7 pillar           Item=   2 addl=0
  (17,10) type=7 pillar           Item=   7 addl=0
  (30,10) type=1 normal           Item=  -1 addl=0
  (14,11) type=1 normal           Item=  95 addl=0
  (15,11) type=1 normal           Item=  96 addl=0
  (16,11) type=1 normal           Item=  -1 addl=0
  (30,11) type=1 normal           Item=  -1 addl=0
  ( 2,12) type=1 normal           Item=  99 addl=0
  ( 4,12) type=1 normal           Item= 100 addl=0
  (14,12) type=7 pillar           Item=   3 addl=0
  (15,12) type=1 normal           Item=  -1 addl=0
  (16,12) type=7 pillar           Item=   6 addl=0
  (30,12) type=1 normal           Item= 332 addl=0
  ( 8,13) type=1 normal           Item= 104 addl=0
  (10,13) type=1 normal           Item=  -1 addl=0
  (14,13) type=7 pillar           Item=   8 addl=0
  (15,13) type=1 normal           Item=  -1 addl=0
  (16,13) type=7 pillar           Item=   4 addl=0
  (20,13) type=1 normal           Item= 107 addl=0
  (22,13) type=1 normal           Item= 109 addl=0
  (26,13) type=1 normal           Item= 239 addl=0
  (28,13) type=1 normal           Item= 112 addl=0
  (30,13) type=1 normal           Item= 331 addl=0
  (14,14) type=7 pillar           Item=  11 addl=0
  (15,14) type=1 normal           Item= 118 addl=0
  (16,14) type=1 normal           Item=  10 addl=0
  (30,14) type=1 normal           Item=  -1 addl=0
  ( 2,15) type=1 normal           Item= 297 addl=0
  ( 4,15) type=1 normal           Item=  -1 addl=0
  ( 8,15) type=1 normal           Item=  -1 addl=0
  (10,15) type=1 normal           Item= 280 addl=0
  (14,15) type=7 pillar           Item=   9 addl=0
  (15,15) type=1 normal           Item=  -1 addl=0
